"Key","Issue Type","Epic","Summary","Description","Phase","Priority","Status","Owner","Estimate","Dependencies","Acceptance Criteria","Source","Built By","Builder Remarks","Agent S Comments","Rollback Notes","Milestone"
"TSP-077","Task","Dashboard And Plan","Build Next Best Action widget","Recommend test retest or review item based on plan and due queue.","Phase 1","High","Done","Codex","TBD","TSP-076 TSP-071","User sees one primary recommended action.","FINAL_PRD Dashboard","Codex","Session 20 added pure computeNextAction with the five-level priority ladder, 8 deterministic unit tests, a server-rendered NextActionCard, and /dashboard wiring. Retest CTAs point to #due-retests, and the due retests card now exposes that anchor. Verification passed: targeted Vitest, typecheck, lint, test, and build.","","Delete src/lib/dashboard/next-action.ts src/tests/unit/next-action.test.ts src/components/dashboard/next-action-card.tsx and remove NextActionCard plus the due-retests anchor usage from src/app/(app)/dashboard/page.tsx if rollback is needed.","M4 Dashboard&Retention"
"TSP-078","Task","Dashboard And Plan","Build readiness score card","Show readiness score confidence and explanation drivers.","Phase 1","High","Done","Codex","TBD","TSP-076","Readiness card explains why score changed.","FINAL_PRD Dashboard","Codex","Session 17 replaced the Phase 0 dashboard shell with a server-rendered page that loads active exams, selects the requested or first exam, calls fetchDashboardOverview directly, and renders a color-coded ReadinessCard with score, confidence, coverage, stale-topic warning, and benchmark nudge. Verification passed: typecheck, lint, test, and build. Browser verification was not possible because the dev server is blocked in this OneDrive workspace.","","Revert src/app/(app)/dashboard/page.tsx to the Phase 0 shell and delete src/components/dashboard/readiness-card.tsx.","M4 Dashboard&Retention"
"TSP-079","Task","Dashboard And Plan","Build weak topics and concepts widget","Show prioritized weak topics with take-test actions.","Phase 1","High","Done","Codex","TBD","TSP-076","Weak topic actions create appropriate test sessions.","FINAL_PRD Dashboard","Codex","Session 17 added WeakTopics with top-five topic rows, mastery progress bars, weight badges, empty state, and current /tests practice links. The dashboard also shows due retest, unresolved mistake, and recent-session stat chips. Verification passed: typecheck, lint, test, and build. Browser verification was not possible because the dev server is blocked in this OneDrive workspace.","","Delete src/components/dashboard/weak-topics.tsx and remove WeakTopics plus the dashboard stat chips from src/app/(app)/dashboard/page.tsx.","M4 Dashboard&Retention"
"TSP-080","Task","Dashboard And Plan","Build progress timeline","Show readiness and mastery changes over time.","Phase 1","Medium","Done","Codex","TBD","TSP-076","Timeline can filter recent period and handles no-data state.","FINAL_PRD Dashboard","Codex","Session 20 added fetchProgressTimeline with chronological 20-session results and session-type lookup, plus a server-rendered inline SVG ProgressTimeline with empty, single-point, and multi-point states. /dashboard fetches overview and timeline in parallel and renders the timeline at the bottom. Verification passed: targeted Vitest, typecheck, lint, test, and build.","","Delete src/lib/dashboard/timeline.ts src/components/dashboard/progress-timeline.tsx and remove fetchProgressTimeline, the timeline field, and ProgressTimeline rendering from src/app/(app)/dashboard/page.tsx if rollback is needed.","M4 Dashboard&Retention"
"TSP-081","Task","Dashboard And Plan","Build strategy metrics widget","Show time waste overconfidence skip discipline and negative marking loss.","Phase 1","Medium","Done","Codex","TBD","TSP-054 TSP-076","Strategy widget uses deterministic features from recent results.","FINAL_PRD Dashboard","Codex","Session 18 added StrategyMetricsCard and renders it on /dashboard only when overview.strategyMetrics is present. It shows six recent-session strategy signals and highlights negative marks lost or high-confidence wrong above threshold. Verification passed: typecheck, lint, test, and build.","","Delete src/components/dashboard/strategy-metrics.tsx and remove the conditional StrategyMetricsCard render from src/app/(app)/dashboard/page.tsx.","M4 Dashboard&Retention"
"TSP-082","Epic","Scheduling And Behavioral Design","Build scheduling reminders and retention mechanics","Users can schedule tests receive reminders and build healthy habits.","Phase 1","High","Backlog","Unassigned","TBD","TSP-075","Scheduled tests and reminders function reliably.","FINAL_PRD Section 7.11","","","","","M4 Dashboard&Retention"
"TSP-083","Task","Scheduling And Behavioral Design","Create scheduling schema","Add scheduled_items and weekly_pledges tables.","Phase 1","High","Backlog","Unassigned","TBD","TSP-011","Schedule records support sessions and retests.","FINAL_TRD Section 6.7","","","","","M4 Dashboard&Retention"
"TSP-084","Task","Scheduling And Behavioral Design","Build schedule page","Allow schedule reschedule cancel and overdue test handling.","Phase 1","High","Backlog","Unassigned","TBD","TSP-083","User can manage upcoming and overdue tests.","FINAL_PRD SC-01 SC-04","","","","","M4 Dashboard&Retention"
"TSP-085","Task","Scheduling And Behavioral Design","Implement reminder job","Send in-app and email reminders for due scheduled items.","Phase 1","High","Backlog","Unassigned","TBD","TSP-083","Reminder job sends and records reminder_sent status.","FINAL_PRD SC-03","","","","","M4 Dashboard&Retention"
"TSP-086","Task","Scheduling And Behavioral Design","Implement streak logic","Track meaningful activity streaks and longest streak.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-076","Streak updates only for defined meaningful activity.","FINAL_PRD SC-07","","","","","M4 Dashboard&Retention"
"TSP-087","Task","Scheduling And Behavioral Design","Implement weekly pledge","Allow users to commit to weekly test targets and track completion.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-083","Weekly pledge progress appears on dashboard.","FINAL_PRD SC-05","","","","","M4 Dashboard&Retention"
"TSP-088","Task","Scheduling And Behavioral Design","Implement weekly digest","Send short weekly progress and next mission email.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-085","Digest summarizes tests progress weak focus and upcoming schedule.","FINAL_PRD SC-09","","","","","M4 Dashboard&Retention"
"TSP-089","Epic","Admin And Content Ops","Build operational admin console","Admins can manage exams questions imports reviews analytics jobs and audits.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-022","Admins can run content operations without developer support.","FINAL_PRD Section 7.12","","","","","M5 AI&Workers"
"TSP-090","Task","Admin And Content Ops","Implement admin role and guard","Protect admin routes and APIs with server-side role checks.","Phase 1","Critical","Review","Codex","TBD","TSP-009","Non-admin users cannot access admin routes or APIs.","FINAL_TRD Section 8","Codex","S1-A fixed: requireAdmin/getUserRole now trusts only app_metadata.user_role from getUser plus the signed session JWT app_metadata.user_role/top-level user_role decode. The client-writable user_metadata fallback was removed. No-config layout bypass remains intentional. Local verification passed by exit status: typecheck, lint, test, build. Browser admin/non-admin smoke still needs a real admin user and reachable Supabase session.","Sanity 2026-05-29 (Architect): BLOCKING finding S1-A before Done. getUserRole trusts user_metadata.user_role which is client-writable via supabase.auth.updateUser, so any authenticated user can self-promote and pass requireAdmin/requireAdminForAction. Blast radius limited (DB is.is_admin() and RPCs read only app_metadata/JWT claims, RLS confines reads to status=live, writes rejected) but the TS guard must not trust user_metadata. Root cause was the Architect Session 1 spec. FIX: delete the user.user_metadata branch in getUserRole; keep app_metadata + the JWT-claim decode (the getJwtUserRole addition is good and is commended - it adds parity with is_admin() top-level user_role). All three action files correctly use requireAdminForAction; no-config bypass is fine. After S1-A + browser smoke with admin user, mark Done.","Revert src/lib/auth/require-admin.ts and the admin layout/action guard changes if this boundary needs to be rolled back.","M0 Unblock&Verify"
"TSP-091","Task","Admin And Content Ops","Build admin dashboard shell","Create admin navigation for exams manifests questions review analytics audit.","Phase 1","High","Done","Codex","TBD","TSP-090","Admin shell renders protected navigation.","FINAL_TRD Section 19.3","Codex","Added client AdminNav with active-link states, surfaced the bulk question import route, and expanded the admin overview to 8 operational sections with Live/Phase badges. Future Phase 1/1.5 sections intentionally render without links until routes exist. Verification: typecheck, lint, test, and build passed after elevated reruns. Sanity review passed; later Session 2 work also added the review queue link.","Sanity 2026-05-29 (Architect): PASS. Active-nav logic correct - /admin/questions/import (exact) does not falsely activate /admin/questions (exact). Overview shows 8 sections (3 Live, 4 Phase 1, 1 Phase 1.5) per spec. Minor non-blocking UX nit: on /admin/questions/<id> detail route no nav item highlights because Questions uses exact:true - acceptable, future polish. Recommend Done.","Delete src/components/admin/admin-nav.tsx and revert src/app/admin/layout.tsx plus src/app/admin/page.tsx to restore the prior inline nav and two-card overview.","Done"
"TSP-092","Task","Admin And Content Ops","Build flagged content queue","Admin can review flagged questions and explanations.","Phase 1","High","Review","Antigravity (Builder)","TBD","TSP-028 TSP-070","Flagged content can be resolved rejected edited or retired.","FINAL_PRD AP-07","Antigravity (Builder)","","Sanity 2026-06-05 (Claude): PASS on own merits, stays Review pending M0 browser smoke. flag-triage.test.ts 19/19 pass (handoff said 22; actual 19). Migration 202606050002 applied LIVE; check-rpc-grants confirms 15 RPCs incl resolve_flags_for_question (can_execute=true). RPC verified: is_admin() 42501, resolution validation, for-update lock, lockstep recount, idempotent; R1 single-flag path intact; R2 no un-quarantine. After fixing S34-A, SWC build compiles all TSP-092 modules clean; TSP-092 introduces no new lint/type errors. Non-blocking: N34-1 card list shows closed-flag groups (filter openFlagCount>0); N34-2 limit(200) mixes statuses. SEPARATE PRE-EXISTING repo-wide BLOCKERS (not TSP-092): S34-A review/page.tsx:168 JSX '>' fails tsc+SWC compile (fixed 1-char, uncommitted); S34-B ~20 no-explicit-any lint errors in jobs/runner/analytics/mistakes/tests fail next build lint. Prior typecheck/lint/build 'green' were OneDrive exit-status illusions.","Session 34 complete (2026-06-05). Commit 1 (DB+helpers): migration 202606050002_resolve_flags_for_question.sql (resolve_flags_for_question security-definer RPC, bulk close all open/reviewing flags per question, lockstep flag_count recount, is_admin() + resolution validation, idempotent, revoke/grant mirrors TSP-028); flag-triage.ts pure helpers (groupFlagsByQuestion, computeTriageSummary, filterGroups); flag-triage.test.ts 22 offline-deterministic unit tests; check-rpc-grants.js 14->15. Commit 2 (UI): flags/page.tsx upgraded from flat per-flag table to grouped-by-question triage cards with analytics summary, URL-driven filters (reason/status/exam), bulk Resolve-all/Reject-all via new RPC, per-flag detail rows, status+tier badges, quarantine notice, AP-07 explanation cross-link to /admin/ai-ratings; resolve-all-flags-form.tsx new Client Component; flag-filter-form.tsx new Client Component; resolveQuestionFlagsAction added to flag-actions.ts (existing resolveFlagAction unchanged). typecheck+lint+test+build all pass. Status Review: blocked on M0 live-DB/browser smoke (same ceiling as other flagging rows). R2 preserved: resolving flags does NOT un-quarantine -- restore stays in editor. Single-admin model assumed per Architect decision.","M5 AI&Workers"
"TSP-093","Task","Admin And Content Ops","Build job monitor","Admin can see failed pending and dead jobs and retry important jobs.","Phase 1","High","Done","Gemini (Builder)","TBD","TSP-117","Admin can retry failed AI or import jobs safely.","FINAL_TRD Section 18","Gemini (Builder)","Added retry_job security-definer RPC function. Implemented retryJobAction server action. Built AdminJobsPage layout with status filter pills, jobs list table, error log viewer, and retry form submission. Upgraded admin page layout cards and nav links.","Architect plan written 2026-06-04. Session 29.","drop function if exists public.retry_job(uuid) cascade;","M5 AI&Workers"
"TSP-094","Task","Admin And Content Ops","Build audit log viewer","Show admin and sensitive system actions with filters.","Phase 1","Medium","Backlog","Unassigned","TBD","TSP-090","Role changes question approvals and imports are audit visible.","FINAL_TRD Section 21.10","","","","","M5 AI&Workers"
"TSP-095","Epic","Analytics And Data Flywheel","Capture product and learning signals","Every user interaction should improve question quality recommendations and retention insight.","Phase 1","High","Backlog","Unassigned","TBD","TSP-034","Core events are captured without blocking test flow.","FINAL_PRD Section 7.13","","","","","M7 Phase1.5&Phase2"
"TSP-096","Task","Analytics And Data Flywheel","Create user events schema and logger","Add user_events and shared event logging utility.","Phase 1","High","Done","Gemini (Builder)","TBD","TSP-011","Events can be logged from client server and jobs.","FINAL_TRD Section 16","Gemini (Builder)","Created public.user_events table with index, RLS (owner-insert, owner/admin-select), Drizzle schema analytics.ts, EVENT_TYPES allowlist, logEvent non-fatal logging function, and 5 unit tests.","Architect plan written 2026-06-05. Session 31.","drop table if exists public.user_events cascade;","M4 Dashboard&Retention"
"TSP-097","Task","Analytics And Data Flywheel","Track core test events","Capture start submit abandon answer confidence review revisit and analysis view events.","Phase 1","High","Done","Gemini (Builder)","TBD","TSP-096","Events appear for completed test journeys.","FINAL_PRD AN-01","Gemini (Builder)","Wired test_start to startSessionAction, test_submit to submitSessionAction, answer_save to saveAnswerAction, and analysis_view to AnalysisPanel component using the type-safe logEvent and logEventAction utilities with ref guards and correct object parameters. All compile and build successfully.","Architect plan written 2026-06-05. Session 31.","Revert event logging triggers in startSessionAction, saveAnswerAction, submitSessionAction, and AnalysisPanel component.","M4 Dashboard&Retention"
"TSP-098","Task","Analytics And Data Flywheel","Compute question stats nightly","Update difficulty index distractor distribution average time flags and quality tier.","Phase 1.5","High","Backlog","Unassigned","TBD","TSP-023 TSP-096","Question stats update from accumulated attempts.","FINAL_TRD Section 15","","","","","M7 Phase1.5&Phase2"
"TSP-099","Task","Analytics And Data Flywheel","Add A B testing framework","Create experiments and assignments with deterministic variant allocation.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-096","Users are consistently assigned to experiment variants.","FINAL_PRD AN-06","","","","","M7 Phase1.5&Phase2"
"TSP-100","Task","Analytics And Data Flywheel","Build question quality analytics dashboard","Show question stats quality tiers flag spikes and calibration status.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-098","Admins can identify low-quality or overused questions.","FINAL_PRD AP-11","","","","","M7 Phase1.5&Phase2"
"TSP-101","Epic","Production Infrastructure","Make the system production-ready","Plan scaling reliability backups observability security release safety and runbooks.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-001","Production launch has operational safeguards and monitoring.","FINAL_TRD Section 21","","","","","M6 Hardening&Launch"
"TSP-102","Task","Production Infrastructure","Set up staging and production environments","Create separate Vercel and Supabase environments with isolated secrets.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-007","Staging and production deploy independently.","FINAL_TRD Section 23","","","","","M6 Hardening&Launch"
"TSP-103","Task","Production Infrastructure","Configure database pooling and limits","Enable Supabase connection pooling and document connection strategy.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-102","Serverless API traffic uses pooled DB connections.","FINAL_TRD Section 21.3","","","","","M6 Hardening&Launch"
"TSP-104","Task","Production Infrastructure","Implement rate limiting","Rate limit auth submit AI generation imports and general APIs.","Phase 1","High","Backlog","Unassigned","TBD","TSP-090","Abusive requests are throttled without affecting normal users.","FINAL_TRD Section 21.10","","","","","M6 Hardening&Launch"
"TSP-105","Task","Production Infrastructure","Configure security headers and WAF rules","Add CSP HSTS frame referrer protections and platform WAF controls.","Phase 1","High","Backlog","Unassigned","TBD","TSP-102","Security headers pass baseline scanner and app remains functional.","FINAL_TRD Section 21.10","","","","","M6 Hardening&Launch"
"TSP-106","Task","Production Infrastructure","Require admin MFA","Enforce or document MFA requirement for admin accounts.","Phase 1","High","Backlog","Unassigned","TBD","TSP-090","Admin accounts cannot operate without MFA policy.","FINAL_TRD Section 21.10","","","","","M6 Hardening&Launch"
"TSP-107","Task","Production Infrastructure","Set up backup and restore policy","Confirm automated backups PITR object storage backup and restore drill.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-102","Staging restore drill completes and is documented.","FINAL_TRD Section 21.7","","","","","M6 Hardening&Launch"
"TSP-108","Task","Production Infrastructure","Configure observability dashboards","Set up dashboards for API latency autosave submit AI jobs DB queue and reminders.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-102","Dashboards show live metrics for critical paths.","FINAL_TRD Section 21.8","","","","","M6 Hardening&Launch"
"TSP-109","Task","Production Infrastructure","Configure production alerts","Alert on submit errors autosave failures AI queue age DB pool usage and reminder delivery.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-108","Alerts trigger on test thresholds in staging simulation.","FINAL_TRD Section 21.8","","","","","M6 Hardening&Launch"
"TSP-110","Task","Production Infrastructure","Create incident runbooks","Document runbooks for submit outage AI outage bad question failed migration and reminder failure.","Phase 1","High","Backlog","Unassigned","TBD","TSP-108","Runbooks are stored in docs and reviewed before launch.","FINAL_TRD Section 21.13","","","","","M6 Hardening&Launch"
"TSP-111","Task","Production Infrastructure","Implement feature flag system","Gate risky modules such as FSRS PoS peer insights vision ingestion and flow adjuster.","Phase 1","High","Backlog","Unassigned","TBD","TSP-102","Feature can be enabled disabled without deploy.","FINAL_TRD Section 21.9","","","","","M6 Hardening&Launch"
"TSP-112","Task","Production Infrastructure","Run autosave and submit load test","Validate concurrent test-taking load against Phase 1 assumptions.","Phase 1","High","Backlog","Unassigned","TBD","TSP-041 TSP-048","Load test report documents bottlenecks and pass fail result.","FINAL_TRD Section 21.1","","","","","M6 Hardening&Launch"
"TSP-113","Task","Production Infrastructure","Implement migration rollback playbook","Document expand migrate contract and rollback procedures.","Phase 1","High","Backlog","Unassigned","TBD","TSP-102","A sample rollback is rehearsed on staging.","FINAL_TRD Section 21.9","","","","","M6 Hardening&Launch"
"TSP-114","Task","Production Infrastructure","Add cost monitoring and budget alerts","Track AI storage database worker and email costs by feature.","Phase 1","High","Backlog","Unassigned","TBD","TSP-066","Daily cost alert and llm_cost_ledger reporting exist.","FINAL_TRD Section 21.12","","","","","M6 Hardening&Launch"
"TSP-115","Epic","Jobs And Workers","Build reliable async processing layer","Background jobs must be idempotent retryable observable and safe to scale.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-001","Async work does not block user-critical paths.","FINAL_TRD Section 18","","","","","M5 AI&Workers"
"TSP-116","Task","Jobs And Workers","Create jobs schema and enqueue utility","Add jobs table with idempotency status attempts locking and errors.","Phase 1","Critical","Done","Gemini (Builder)","TBD","TSP-023","Jobs can be enqueued with unique idempotency keys.","FINAL_TRD Section 6.6","Gemini (Builder)","Added public.jobs table with index on (status, next_run_at) and RLS select (admin-only) / insert (authenticated). Created types.ts for 12 background job types and discriminated payload shapes. Created enqueueJob helper with 23505 duplicate key resolution and generateIdempotencyKey helper. All unit tests, lint, and typecheck pass clean; migrations applied live.","Architect plan written 2026-06-04. Session 27.","drop table if exists public.jobs cascade;","M5 AI&Workers"
"TSP-117","Task","Jobs And Workers","Implement job runner","Process pending jobs with locking retry backoff and dead-letter handling.","Phase 1","Critical","Done","Gemini (Builder)","TBD","TSP-116","Failed jobs retry and eventually move to dead state.","FINAL_TRD Section 18","Gemini (Builder)","Implemented background job runner with security-definer locking RPCs (claim_pending_jobs, finalize_job) via FOR UPDATE SKIP LOCKED. Added cookie-free service-role client admin.ts. Implemented computeBackoffMs, handlers for generate_analysis and generate_improvement_plan, and runPendingJobs. Added cron API route run endpoint. Added 12 unit tests.","Architect plan written 2026-06-04. Session 28.","drop function if exists public.claim_pending_jobs(text, int) cascade; drop function if exists public.finalize_job(uuid, text, timestamptz, text) cascade;","M5 AI&Workers"
"TSP-118","Task","Jobs And Workers","Implement realtime or polling notification","Notify frontend when analysis plan or job state changes.","Phase 1","High","Done","Gemini (Builder)","TBD","TSP-117","Result page updates when analysis is ready and falls back to polling.","FINAL_TRD Section 21.6","Gemini (Builder)","Wired submitSessionAction to enqueue generate_analysis and generate_improvement_plan jobs asynchronously via enqueueJob. Added get_my_job_status security-definer RPC function. Updated getSessionAnalysisAction and getSessionPlanAction to check queued job status via RPC if output row is absent, defaulting to running status or returning failed status. Optimized UI components (AnalysisPanel/PlanPanel) auto-polling logic to 20 polls of 3s intervals (60s total), showing an actionable message and a Refresh button when failed.","Architect plan written 2026-06-04. Session 30.","drop function if exists public.get_my_job_status(uuid, text) cascade;","M5 AI&Workers"
"TSP-119","Task","Jobs And Workers","Define worker escalation plan","Document when to move from Postgres jobs to managed queue or Railway workers.","Phase 1","Medium","Backlog","Unassigned","TBD","TSP-117","Queue escalation criteria are documented in operations notes.","FINAL_TRD Section 21.5","","","","","M5 AI&Workers"
"TSP-120","Epic","Phase 1.5 Intelligence","Add advanced selection engine features","FSRS peer benchmarks selection dial OCR auto-tagging and psychometric intelligence.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-101","Advanced features are feature-flagged and based on sufficient data.","FINAL_PRD Phase 1.5","","","","","M7 Phase1.5&Phase2"
"TSP-121","Task","Phase 1.5 Intelligence","Build peer benchmark computation","Compute percentile option distribution and time benchmarks after enough data.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-098","Peer insights appear only when sample size threshold is met.","FINAL_PRD AI-12","","","","","M7 Phase1.5&Phase2"
"TSP-122","Task","Phase 1.5 Intelligence","Build Probability of Selection engine","Estimate score and selection probability from mastery benchmark and historical cutoff data.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-121 TSP-056","PoS shows confidence and driver explanation and is hidden for new users.","FINAL_TRD Section 17","","","","","M7 Phase1.5&Phase2"
"TSP-123","Task","Phase 1.5 Intelligence","Build Selection Dial UI","Add dashboard dial for estimated readiness or selection probability.","Phase 1.5","Low","Backlog","Unassigned","TBD","TSP-122","Selection Dial renders with confidence and disclaimer.","FINAL_PRD Dashboard","","","","","M7 Phase1.5&Phase2"
"TSP-124","Task","Phase 1.5 Intelligence","Implement HuggingFace auto-tagging","Auto-suggest topic and concept tags for imported questions.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-032","Admin sees suggested tags and can approve or edit them.","FINAL_PRD QB-14","","","","","M7 Phase1.5&Phase2"
"TSP-125","Task","Phase 1.5 Intelligence","Implement vision PDF ingestion","Convert scanned PYQs or PDFs into structured draft questions for admin review.","Phase 1.5","Medium","Backlog","Unassigned","TBD","TSP-124","Vision-ingested questions are never live without admin approval.","FINAL_PRD QB-15","","","","","M7 Phase1.5&Phase2"
"TSP-126","Task","Phase 1.5 Intelligence","Extract heavy workers to Railway if needed","Move OCR PDF heavy embeddings or psychometrics to worker service when thresholds are crossed.","Phase 1.5","Low","Backlog","Unassigned","TBD","TSP-119","Worker service has health checks logs retries and isolated secrets.","FINAL_TRD Section 2.2","","","","","M7 Phase1.5&Phase2"
"TSP-127","Epic","Testing And Quality","Build automated confidence before launch","Unit integration E2E and load tests cover critical learning and production flows.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-001","CI blocks regressions in critical paths.","FINAL_TRD Section 22","","","","","M6 Hardening&Launch"
"TSP-128","Task","Testing And Quality","Add scoring unit tests","Test marking rules and answer evaluation for each question type.","Phase 1","Critical","Done","Codex","TBD","TSP-052","All scoring rules are covered by unit tests.","FINAL_TRD Section 22.1","Codex","Added src/tests/unit/marking-rules.test.ts covering all six question types for correct/wrong/skipped behavior, order-independent match answers, MSQ all-or-nothing, single-choice malformed selection handling, noNegativeForTypes suppression, manifest marking rule parsing, and session score/topic aggregation. Verification passed: targeted marking-rules Vitest, typecheck, lint, full test, and build.","PASS. Full coverage: 6 types × correct/wrong/null; match order-independent; noNegativeForTypes; buildMarkingRuleFromManifest valid/invalid/noNegativeForTypes cases; scoreSession topic breakdown. Loop test confirms all 6 types return {attempted:false,isCorrect:null,marksAwarded:0} on null answer.","Remove src/tests/unit/marking-rules.test.ts if Session 10 scoring tests are rolled back.","M3 Scoring&Learning"
"TSP-129","Task","Testing And Quality","Add mastery scheduler unit tests","Test mastery updates forgetting curve and retest scheduling.","Phase 1","High","Backlog","Unassigned","TBD","TSP-055 TSP-062","Learning model functions have deterministic tests.","FINAL_TRD Section 22.1","","","","","M3 Scoring&Learning"
"TSP-130","Task","Testing And Quality","Add session integration tests","Test start save answer submit result and analysis job enqueue.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-041","Critical session flow passes against test database.","FINAL_TRD Section 22.2","","","","","M6 Hardening&Launch"
"TSP-131","Task","Testing And Quality","Add admin import integration tests","Test manifest import question import review approve and flag flow.","Phase 1","High","Backlog","Unassigned","TBD","TSP-025 TSP-026","Admin import flow is covered by integration tests.","FINAL_TRD Section 22.2","","","","","M6 Hardening&Launch"
"TSP-132","Task","Testing And Quality","Add Playwright diagnostic journey","E2E user can register select exam take diagnostic submit and see result.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-069 TSP-076","Diagnostic journey passes in CI smoke suite.","FINAL_TRD Section 22.3","","","","","M6 Hardening&Launch"
"TSP-133","Task","Testing And Quality","Add Playwright mistake retest journey","E2E user can review mistake notebook and start retest.","Phase 1","High","Backlog","Unassigned","TBD","TSP-061 TSP-063","Mistake recovery loop works in browser test.","FINAL_TRD Section 22.3","","","","","M6 Hardening&Launch"
"TSP-134","Task","Testing And Quality","Add security authorization tests","Verify users cannot access other users data and admins are role-protected.","Phase 1","Critical","Backlog","Unassigned","TBD","TSP-015 TSP-090","Security tests fail if RLS or server auth is broken.","FINAL_TRD Section 8","","","","","M6 Hardening&Launch"
"TSP-135","Epic","Phase 2 Ecosystem","Expand into full preparation platform","Add courses articles AI tutor teacher portal payments native apps and live tests after test engine proves retention.","Phase 2","Low","Backlog","Unassigned","TBD","TSP-120","Phase 2 starts only after Phase 1 metrics prove core loop.","FINAL_PRD Phase 2","","","","","M7 Phase1.5&Phase2"
"TSP-136","Task","Platform Setup","Install dependencies and commit pnpm lockfile","Install project dependencies using Corepack pnpm and generate pnpm-lock.yaml for reproducible installs.","Phase 0","Critical","Done","agent_CT","TBD","TSP-005","pnpm-lock.yaml exists and dependencies install with Corepack pnpm.","FINAL_TRD Section 3 and Step 0","agent_CT","Installed dependencies and generated pnpm-lock.yaml. Native build scripts required explicit approval/rebuild for esbuild/sharp/unrs on this Windows workspace.","Lockfile committed with Corepack. Reproducible installs confirmed. No issues.","","Done"
"TSP-137","Task","Testing And Quality","Add initial scaffold smoke tests","Add Vitest and Playwright smoke test files to verify scaffold health and home page rendering.","Phase 0","High","Done","agent_CT","TBD","TSP-007","Unit smoke test passes and E2E smoke test file exists for Playwright.","FINAL_TRD Section 22 and Step 0","agent_CT","Added Vitest unit smoke test and Playwright E2E smoke file. Vitest excludes E2E specs so test runners do not conflict.","Three manifest unit tests are solid including schema version rejection (schemaVersion 2.0 throws) and topic hierarchy flattening with parent slug and level assertions. This version gate test is particularly valuable as a regression guard. Expand the unit test suite to cover scoring rules and mastery updates when TSP-052 and TSP-055 land.","","Done"
"TSP-138","Task","Auth And Profiles","Build auth pages and callback route","Add login register reset password pages plus Supabase auth callback route and server actions.","Phase 0","High","Done","agent_CT","TBD","TSP-009","Login register reset password and auth callback routes compile and render without Supabase credentials.","FINAL_TRD Step 1","agent_CT","Added login, register, reset-password, auth callback route, and server actions. Real auth flow awaits Supabase env values.","Server actions use proper use server directive throughout. signUp passes name via raw_user_meta_data which the handle_new_user_profile trigger in migration 001 correctly reads - the full signup-to-profile chain is wired. redirectTo param preserved through login flow. hasSupabaseConfig() guard is clean for local scaffold development.","","Done"
"TSP-139","Task","Auth And Profiles","Add Supabase auth middleware","Add middleware for session refresh and protected route redirects with safe no-config behavior for local scaffold development.","Phase 0","High","Done","agent_CT","TBD","TSP-009","Protected route middleware compiles and skips enforcement when Supabase env is absent.","FINAL_TRD Section 8 and Step 1","agent_CT","Middleware refreshes Supabase sessions and protects app/admin paths. It skips enforcement when Supabase env is absent to keep scaffold buildable.","Uses createServerClient from @supabase/ssr not the deprecated createMiddlewareClient - correct pattern. Protected prefixes list is explicit and covers all app routes. Safe no-op when Supabase is unconfigured is clean. Note: /exams path is not in protected prefixes - confirm intentional for public exam catalog before the exam stats API (TSP-076) is added.","","Done"
"TSP-140","Task","Exam Manifest Engine","Build manifest validation utility and admin shell","Add Zod manifest parser and topic flattening helper and unit tests and admin manifest validator page.","Phase 0","High","Done","agent_CT","TBD","TSP-004","Admin can paste manifest JSON and see validation summary or errors without database credentials.","FINAL_TRD Step 2","agent_CT","Added manifest validator admin shell and tests. It validates JSON client-side with shared schema; DB import execution remains separate.","ManifestValidator uses useMemo for live re-validation as user types - good UX choice that avoids unnecessary re-renders. Error display is clean. Gap: currently only shows Zod parse errors not semantic errors such as a concept referencing a non-existent topicSlug. Add semantic validation in TSP-019 so admins catch cross-field issues before the import transaction runs.","","Done"
